"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical";1;"LMD18200";;;
2;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Connector Encoder";;;
3;"Crystal1";"Crystal_HC52-6mm_Vertical";1;"30MHz";;;
4;"C1,C2";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"10pF";;;
5;"C3,C4";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"10nF";;;
6;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"5A";;;
7;"J1";"PinHeader_2x08_P2.00mm_Vertical";1;"Conn_02x08";;;
8;"J3";"PinHeader_1x10_P2.00mm_Vertical";1;"Conn_01x10";;;
9;"J4,J5";"PinHeader_1x08_P2.00mm_Vertical";2;"Conn_01x08";;;
10;"J6,J7";"TerminalBlock_Altech_AK300-2_P5.00mm";2;"Screw_Terminal_01x02";;;
11;"Q1";"TO-92_Inline";1;"BC548";;;
12;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1M";;;
13;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"0.1R";;;
14;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"10K";;;
15;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"4K3";;;
16;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"5K";;;
17;"U2";"DIP-14_W7.62mm";1;"LS7366R";;;
18;"R6,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"1K";;;
19;"J8";"PinHeader_1x06_P2.00mm_Vertical";1;"Conn_01x06";;;
